Rank, Â , Name, Weight Class, Record,Age
1, , Vadim Nemkov, Light Heavyweight, 11-2, 27
2, , Lance Palmer, Featherweight, 22-3, 32
3, , A.J. McKee, Featherweight, 16-0, 25
4, , Natan Schulte, Lightweight, 20-3-1, 28
5, , Darrion Caldwell, Featherweight, 15-3, 32
6, , Jiri Prochazka, Light Heavyweight, 26-3-1, 27
7, , Valentin Moldavsky, Heavyweight, 9-1, 28
8, , Abdul-Aziz Abdulvakhabov, Lightweight, 17-2, 31
9, , Tomasz Narkun, Light Heavyweight, 17-3, 30
10, , Pedro Carvalho, Featherweight, 11-3, 24
11, , Michael Page, Welterweight, 17-1, 33
12, , Kai Asakura, Bantamweight, 15-2, 26
13, , Juan Archuleta, Featherweight, 24-2, 32
14, , Martin Nguyen, Featherweight, 13-3, 31
15, , Mukhamed Berkhamov, Welterweight, 14-1, 26
16, , Anatoly Tokov, Middleweight, 29-3, 30
17, , Christian Lee, Lightweight, 13-3, 21
18, , Salahdine Parnasse, Featherweight, 14-0-1, 22
19, , Loik Radzhabov, Lightweight, 14-2-1, 29
20, , Chris Honeycutt, Middleweight, 12-3, 31
21, , Logan Storley, Welterweight, 11-0, 27
22, , Yaroslav Amosov, Welterweight, 23-0, 26
23, , Roberto Soldic, Welterweight, 17-3, 25
24, , Magomed Ismailov, Middleweight, 16-2-1, 33
25, , Adam Piccolotti, Lightweight, 12-3, 31
26, , Salaman Zhamaldaev, Featherweight, 17-2, 31
27, , James Nakashima, Welterweight, 12-0, 31
28, , Andre Harrison, Featherweight, 21-2-1, 32
29, , Timur Valiev, Bantamweight, 16-2, 30
30, , Amir Aliakbari, Heavyweight, 10-1, 32
31, , Neiman Gracie, Middleweight, 9-1, 31
32, , Jarrah Hussein Al-Silawi, Welterweight, 14-3, 
33, , Ivan Shtyrkov, Light Heavyweight, 17-1-1, 31
34, , Artem Frolov, Middleweight, 13-2, 28
35, , Mikuru Asakura, Featherweight, 13-1, 27
36, , Shavkat Rakhmonov, Lightweight, 12-0, 25
37, , Yusuf Raisov, Lightweight, 16-1, 24
38, , Rashid Yusupov, Light Heavyweight, 12-3, 28
39, , Adam Borics, Featherweight, 14-1, 26
40, , Abubakar Vagaev, Welterweight, 17-3, 27
41, , Handesson Ferreira, Welterweight, 14-3-1, 32
42, , Islam Mamedov, Lightweight, 18-1-1, 30
43, , Derek Anderson, Lightweight, 16-3, 30
44, , Anton Vyazigin, Heavyweight, 14-3, 
45, , Sharaf Davlatmurodov, Middleweight, 16-3-1, 28
46, , Nasrudin Nasrudinov, Light Heavyweight, 8-0, 28
47, , Vladimir Mineev, Middleweight, 13-1-1, 30
48, , Patrick Mix, Bantamweight, 13-0, 26
49, , Soren Bak, Lightweight, 13-1, 27
50, , Khusein Khaliev, Lightweight, 19-2, 31
