Camp(in alphabetic order),Coaches,Current Fighters,Previous Fighters,Location
Alliance MMA,"Brandon Vera, Eric del Fierro","Dominick Cruz, Alexander Gustafsson, Phil Davis, Ross Pearson, Jeremy Stephens, Myles Jury, Wilson Reis, Jessica Penne, Bec Rawlings, Angela Hill",,"San Diego, USA"
Allstars Training Center,"Andreas Michael, Alan do Nascimento","Alexander Gustafsson, Ilir Latifi, David Teymur, Daniel Teymur, David Bielkheden, Niklas Backstrom, Nico Musoke, Khamzat Chimaev","Reza Madadi, Jimi Manuwa, Makwan Amirkhani, Tor Troeng","Stockholm, Sweden"
AMC Pankration,Matt Hume,"Demetrious Johnson, Bibiano Fernandes, Caros Fodor, James Yang","Josh Barnett, Rich Franklin, Jeff Monson, Tim Boetsch, Chris Leben, Matt Brown, Hayato Sakurai","Kirkland, USA"
American Kickboxing Academy,"Javier Mendez, Bob CookLeandro Vieira","Cain Velasquez, Khabib Nurmagomedov, Islam Makhachev, Alejandro Perez, Bethe Correia","Daniel Cormier, B.J. Penn, Jon Fitch, Josh Koscheck, Mike Swick, Luke Rockhold, Leon Edwards","San Jose, USA"
American Top Team,"Mike Brown, Steve Mocco, Marcus Silveira","Junior Dos Santos, Tyron Woodley, Thiago Alves, Gleison Tibau, Antonio ""Bigfoot"" Silva, Brad Pickett, Muhammed ""King Mo"" Lawal, Will Brooks, Marc Diakiese, Dustin Poirier, Charles Rosa, Jorge Masvidal, Yoel Romero, Santiago Ponzinibbio, Thiago Santos, Antonio Carlos Jr , Marcos Rogerio de Lima, Aleksei Oleinik, Rashid Magomedov, Douglas Lima, Dhiego Lima, Omari Akhmedov, Sultan Aliev, Alex Chambers, Jessica Aguilar, Valerie Letourneau, Amanda Nunes, Joanna Jedrzejczyk, Greg Hardy",Colby Covington,"Coconut Creek, USA"
Black Tiger Fight Club,"Vincent Soberano, Xuejun Cai, Pedro Jord","Zhang Weili, Li Jingliang, Yao Zhikui",,"Beijing, China"
Busan Team M.A.D,Sung Hoon Yang,"Dong Hyun Kim, Seo Hee Ham, Doo Ho Choi",,"Busan, South Korea"
Cesar Gracie Fight Team,Cesar Gracie,"Nick Diaz, Nate Diaz, Jake Shields, Gilbert Melendez, Yancy Medeiros, Leslie Smith",,"Pleasant Hill, USA"
City Kickboxing,Eugene Bareman,"Israel Adesanya, Alexander Volkanovski, Dan Hooker, Kai Kara-France, Shane Young, Brad Riddell",,"Auckland, New Zealand"
Elevation Fight Team,"Eliot Marshall, Christian Allen, Cody Donovan, Vinnie Lopez, David Zabriskie, Sean Madden","Curtis Blaydes, Drew Dober, Alistair Overeem, Bojan Velickovic, Neil Magny, Daniel Gallemore, Justin Gaethje","Brandon Thatch, T. J. Dillashaw, Matt Brown","Denver, USA"
Evolve MMA,Siyar Bahadurzada,"Shinya Aoki, Dejdamrong Sor Amnuaysirichoke, Angela Lee, Bruno Pucci, Michelle Nicolini, Rafael dos Anjos",,"Far East Square, Singapore"
Factory X,Marc Montoya,"Anthony Smith, Court McGee, Youssef Zalal, Brandon Royval",,"Englewood, USA"
Jackson-Wink MMA,"Greg Jackson, Mike Winkeljohn","Jon Jones, B.J. Penn, Diego Sanchez, Andrei Arlovski, Carlos Condit, John Dodson, Cub Swanson, Diego Brandao, Holly Holm, Michelle Waterson,Ray Borg, Lando Vannata, Ali Bagautinov, Magomed Mustafaev, Kyle Noke, Tom Duquesnoy, Iuri Alcantara, Ildemar Alcantara, Siyar Bahadurzada, Claudia Gadelha","Georges St-Pierre, Rashad Evans, Tim Kennedy, Donald Cerrone, Derek Brunson","Albuquerque, USA"
Kings MMA,"Rafael Cordeiro, Mark Mu","Fabricio Werdum, Lyoto Machida, Wanderlei Silva, Mauricio Rua, Kelvin Gastelum, Beneil Dariush, Jake Ellenberger, Jon Tuck, Marvin Vettori",Rafael dos Anjos,"Huntington Beach, USA"
Korean Top Team,Ha Dong-Jin,"Tae Hyun Bang, Yang Dongi, Kim Jong-Man, Lim Hyun-Gyu",,"Seoul, South Korea"
Krazy Bee,Sergio Cunha,"Norifumi Yamamoto, Kotetsu Boku, Kyoji Horiguchi",,"Tokyo, Japan"
London Shootfighters,"Alexis Demetriades, Marios Demetriades, Paul Ivens","Michael Page, John Hathaway, Zelg Galesic, Amir Albazi, Alfie Davis, Mike Shipman, Norbert Novenyi Jr.","Lee Murray, Marius Zaromskis, James Thompson, Mostapha al-Turk, Alex Reid","London, United Kingdom"
Longo-Weidman MMA,"Chris Weidman, Ray Longo","Chris Weidman, Al Iaquinta, Aljamain Sterling, Gian Villante, Eddie Gordon, Merab Dvalishvili, Mizuki Inoue, Matt Frevola",,"Garden City, USA"
Nova Uniao ,Andre Pederneiras,"Jose Aldo, Renan Barao, Thales Leites, Leonardo Santos, Hacran Dias, Johnny Eduardo, Jussier Formiga, Francimar Barroso, Ketlen Vieira, Alexandre Pantoja, Junior dos Santos",Claudia Gadelha,"Rio de Janeiro, Brazil"
MMA Factory Paris,Fernand Lopez Owonyebe,"Ciryl Gane, Francis Ngannou, Christian M'Pumbu, Veronica Macedo, Ion Cutelaba, Taylor Lapilus, Damien Lapilus, Teddy Violet, Rizlen Zouak, Samir Faiddine, Davy Gallon, Thibaut Larchet, Iurie Bejenari, Konmon Deh",,"Paris, France"
MMA LAB,"John Crouch, Adam Gillespey","Benson Henderson, Efrain Escudero, Jared Cannonier, John Moraga, Johnny Case, Sean O'Malley, Steven Siler","Alex Caceres, Bryan Barberena, Jamie Varner, Rick Story","Glendale, USA"
Phuket Top Team,"Olavo AbreuVaughan, LeeLeo De Souza, Roedie Roets",Vaughan Lee,"Xiong Jingnan, Cris Cyborg, Luke Jumeau, Anthony Leone, Krzysztof Jotko","Phuket, Thailand"
Roufusport,"Duke Roufus, Daniel Wanderley, Scott Cushman","Anthony Pettis, Paul Felder, Belal Muhammad, Erik Koch, Sergio Pettis, CM Punk, Elias Garcia, Emmanuel Sanchez, Gerald Meerschaert, Mike Rhodes, Sarah Kaufman, Ryan Janes, John Makdessi, Jared Gordon, Jordan Griffin, Tyron Woodley, Maycee Barber, Brendan Allen","Ben Askren, Dustin Ortiz, Ben Rothwell, Alan Belcher, Pat Barry, Matt Mitrione, Jens Pulver, Pascal Krauss, Rose Namajunas, Sage Northcutt","Milwaukee, USA"
Sanford MMA (formerly the Blackzilians),"Henri Hooft, Greg Jones, Jorge Santiago, Kami Barzini","Kamaru Usman, Michael Johnson, Stefan Struve, Ryan LaFlare, Matt Mitrione, Chas Skelly, Desmond Green, Danny Roberts, Derek Brunson, Gilbert Burns, Vicente Luque, Volkan Oezdemir, Aung La N Sang, Luke Rockhold, Andre Soukhamthath, Evan Elder, Dustin Lampros","Alistair Overeem, Sean Soriano, Anthony Johnson, Eddie Alvarez","Florida, USA"
SBG Ireland,John Kavanagh,"Makwan Amirkhani, Taylor Lapilus, Artem Lobov, Conor McGregor, Gunnar Nelson, John Phillips, Johnny Walker","Aisling Daly, Patrick Holohan, Cathal Pendred","Dublin, Ireland"
Team Alpha Male,"Urijah Faber, Martin Kampmann","Clay Guida, Joseph Benavidez, Chad Mendes, Darren Elkins, Andre Fili, Cody Garbrandt, Guido Cannetti, Teruto Ishihara, Cynthia Calvillo","T.J. Dillashaw, Paige VanZant","Sacramento, USA"
Team Lloyd Irvin,Lloyd Irvin,"Mike Easton, James VickS, odiq Yusuff, Ron Stallings","Brandon Vera, Phil Davis, Dominick Cruz","Camp Springs, USA"
Team Renegade Jiu Jitsu and MMA,"Chiu Kwong, ManDave Lovell, Mojtaba Aslani","Leon Edwards, Tom Breese, Fabian Edwards, Jai Herbert, Nathias Frederick, Yannick Bahati",,"Birmingham,  United Kingdom"
Teixeira MMA & Fitness,"Glover Teixeira, Caio Magalhaes, Killys Mota, Regivaldo Carvalho","Glover Teixeira, Caio Magalhaes, Nick Newell, Guilherme Viana, Regivaldo ""Handstone"" Carvalho, Alex Pereira (kickboxer), Killys Mota, David Valente, Kenyon Moore, Matthew Rodriguez, Ilya Kotau, Justin ""The Fort"" Sumter, Thiago Siriguela, Edison Lopes","Steve Mocco, Chael Sonnen, Muhammed ""King Mo"" Lawal, Jordan Rinaldi, Luis Henrique, Dean ""The Hammer"" Hancock, Raphael Correa, Steve ""The Creepy Weasel"" Montgomery, Rafael Viana, Alton Cunningham","Bethel, USA"
Tiger Muay Thai,George Hickman,"Valentina Shevchenko, Petr Yan, Tarec Saffiedine, Mairbek Taisumov, Loma Lookboonmee, Zubaira Tukhugov, Nordine Taleb, Nick Hein, Ben Nguyen, Dan Hooker, Jason Saggo",,"Phuket, Thailand"
Tribe Tokyo MMA,Ryo Chonan,"Yasuhiro Urushitani, Yuya Shirai, Kiyotaka Shimizu",,"Nerima, Japan"
Tristar Gym,Firas Zahabi,"Rory MacDonald, Joseph Duffy, Aiemann Zahabi, Olivier Aubin-Mercier, Chad Laprise, Elias Theodorou, Ryan Hall,  Arnold Allen, Joanne Calderwood, Nasrat Haqparast","Georges St-Pierre, Kenny Florian, Tom Breese","Montreal, Canada"
Xtreme Couture,"Randy Couture, Robert Follis","Roy Nelson, Evan Dunham, Brad Tavares, Bryan Caraway, Uriah Hall, Gray Maynard, Kevin Lee, Tim Elliott, Frank Trigg, Gina Carano, Heather Jo Clark",Miesha Tate,"Las Vegas, USA"
